aircraft,cabin,layout,pitch_inches,width_inches,seats,is_flat_bed
CR9,Y,2-2,31,17.3,64,0
CR9,C,1-2,37,19.6,12,0
E75,Y,2-2,31,18.3,64,0
E75,C,1-2,37,20.0,12,0
E90,Y,2-2,31,18.3,88,0
E90,C,1-2,37,20.0,12,0
AT7,Y,2-2,30,17.3,70,0
DH4,Y,2-2,30,17.3,78,0
223,Y,2-3,31,18.6,120,0
223,C,2-2,37,20.5,12,0
319,Y,3-3,30,18.0,114,0
319,C,2-2,37,20.5,12,0
320,Y,3-3,30,18.0,150,0
320,C,2-2,37,20.5,12,0
321,Y,3-3,30,18.0,185,0
321,C,2-2,37,20.5,16,0
32N,Y,3-3,30,18.0,156,0
32N,C,2-2,37,20.5,12,0
32Q,Y,3-3,30,18.0,165,0
32Q,W,3-3,34,18.0,12,0
32Q,C,2-2,38,20.5,16,0
738,Y,3-3,30,17.2,160,0
738,C,2-2,37,21.0,16,0
739,Y,3-3,30,17.2,178,0
739,C,2-2,37,21.0,16,0
7M8,Y,3-3,30,17.2,162,0
7M8,C,2-2,37,21.0,16,0
763,Y,2-3-2,31,17.9,190,0
763,W,2-2-2,36,18.5,21,0
763,C,1-1-1,60,20.5,24,1
332,Y,2-4-2,31,18.0,210,0
332,W,2-3-2,38,19.0,21,0
332,C,1-2-1,60,21.0,26,1
333,Y,2-4-2,31,18.0,240,0
333,W,2-3-2,38,19.0,21,0
333,C,1-2-1,60,21.0,30,1
339,Y,2-4-2,31,18.0,236,0
339,W,2-3-2,38,19.0,28,0
339,C,1-2-1,60,21.0,30,1
359,Y,3-3-3,31,18.0,250,0
359,W,2-4-2,38,19.0,24,0
359,C,1-2-1,60,21.5,36,1
35K,Y,3-3-3,31,18.0,260,0
35K,W,2-4-2,38,19.0,28,0
35K,C,1-2-1,60,21.5,44,1
35K,F,1-1-1,80,26.0,4,1
388,Y,3-4-3,31,18.0,399,0
388,W,2-4-2,38,19.5,35,0
388,C,1-2-1,60,21.5,76,1
388,F,1-1-1,83,26.0,14,1
772,Y,3-3-3,31,17.5,235,0
772,W,2-4-2,38,18.5,24,0
772,C,1-2-1,60,21.0,37,1
77W,Y,3-4-3,31,17.2,296,0
77W,W,2-4-2,38,18.5,24,0
77W,C,1-2-1,60,21.0,42,1
77W,F,1-2-1,81,23.0,8,1
788,Y,3-3-3,31,17.3,200,0
788,W,2-3-2,38,19.0,21,0
788,C,1-2-1,60,20.5,28,1
789,Y,3-3-3,31,17.3,220,0
789,W,2-3-2,38,19.0,21,0
789,C,1-2-1,60,20.5,30,1
781,Y,3-3-3,31,17.3,250,0
781,W,2-3-2,38,19.0,21,0
781,C,1-2-1,60,20.5,34,1
744,Y,3-4-3,31,17.2,290,0
744,W,2-4-2,38,18.5,32,0
744,C,2-2-2,60,20.0,52,1
744,F,1-1,81,23.0,14,1
74H,Y,3-4-3,31,17.2,290,0
74H,W,2-4-2,38,18.5,32,0
74H,C,1-2-1,60,20.5,56,1
74H,F,1-1,81,23.0,8,1
