code,title,url,phone,is_major
00,Anadolujet,,,0
0A,"Asta Linhas",,,0
0B,"Blue Air",https://www.flyblueair.com/en/gb/,9091420598,0
0C,"Cobra Aviation",https://cobraaviation.co.za/,"27(0)11 395 14",0
0D,"Darwin Airline",,,0
0J,"Premium Jet",https://premiumjet.eu/,"41 44 307 50 8",0
0V,VASCO,https://www.vietnamairlines.com/ca/en/Home,778-379-2001,0
0X,"Copenhagen Express",,,0
11,"TUIfly (X3)",,,0
12,"12 North",,,0
1A,"Amadeus Marketing S.A.",,,0
1B,"Abacus International",,,0
1C,OneChina,,,0
1D,"Aerolinea de Antioquia",,,0
1E,"China Aviation Reservation",,,0
1F,"CB Airways UK ( Interliging Flights )",,,0
1G,"Galileo International",,,0
1I,NetJets,,,0
1J,"Axess International Network",,,0
1K,"Southern Cross Distribution Systems",,,0
1L,CitizenPlane,https://www.citizenplane.com/,,0
1N,"Via World Network",,,0
1P,"Worldspan L.P.",,,0
1R,"Hainan Phoenix Info Sys",,,0
1S,"System One",,,0
1T,"Hitit Bilgisayar Hizmetleri",,,0
1V,"Galileo Intl Covia",,,0
1W,Sabre,,,0
1X,"Branson Air Express",,,0
1Z,"Fantasia/asia Pacific Distribution.",,,0
20,"Air Salone",,,0
24,"Euro Jet",,,0
2A,"Deutsche Bahn",https://www.bahn.com/en,"49 30 31168290",0
2B,AlbaWings,https://www.albawings.com/en/home,"355 (0)4580010",0
2C,SNCF,,,0
2D,"Eastern Airlines",https://iflyea.com/,855-216-7601,0
2E,"Smokey Bay Air",https://smokeybayair.com/index.html,888-482-1511,0
2F,"Frontier Flying Service",,1-800-478-6779,0
2G,"Angara airlines",https://angara.aero/en/,"7 (3952) 287 9",0
2H,Thalys,https://www.thalys.com/be/en,"32 70 66 77 88",0
2I,"Star Peru",https://www.starperu.com/es,"(01) 705-9000",0
2J,"Air Burkina",https://air-burkina.com/en,"226 25 49 23 4",0
2K,"Avianca Ecuador",https://www.avianca.com/ec/es/,800-722-8222,0
2L,"Helvetic Airways",https://tabairlines.com/,305-591-1965,0
2M,"Maya Island Air",https://www.mayaislandair.com/,501-223-1403,0
2N,NextJet,,,0
2O,"Island Air Kodiak",https://www.flyadq.com/,907-487-4596,0
2P,"PAL Express",https://www.philippineairlines.com/en,800-435-9725,0
2Q,"Air Cargo Carriers",https://www.aircargocarriers.com/,,0
2R,"Atlantis European Airways",,,0
2S,"Air Stork",,,0
2T,TruJet,https://www.trujet.com/#,"91 40 4090 409",0
2U,"Sun d’Or International Airlines",https://www.sundor.co.il/en/Pages/HomePage.aspx,972-3-9771111,0
2V,Amtrak,https://www.amtrak.com/home,800-872-7245,0
2W,World2fly,,,0
2X,"Airway Express,",http://www.airway.com.hk/,"852 23050832",0
2Y,"My Indo Airlines",https://www.myindoairlines.com/,"62 - 021 - 295",0
2Z,Passaredo,https://www.voepass.com.br//empresa/site/,"0800 770 3757",0
3A,"Chu Kong Passenger Transport",https://cksp.com.hk/#/main/home,"852-2859 1669",0
3B,"Binter Cabo Verde",,,0
3C,"Air Chathams Limited",https://www.airchathams.co.nz/,"0800 580 127",0
3D,"Denim Air",,,0
3E,"Air Choice One",https://www.airchoiceone.com/,866-435-9847,0
3F,"FLYONE ARMENIA",,,0
3G,"Atlant-Soyuz Airlines",,,0
