code,rate_date,rate,fetched_at
CAD,2026-09-09,1.00000000,2026-09-09 00:00:00
USD,2026-09-09,0.72630000,2026-09-09 00:00:00
EUR,2026-09-09,0.62332000,2026-09-09 00:00:00
GBP,2026-09-09,0.53542000,2026-09-09 00:00:00
AUD,2026-09-09,1.00530000,2026-09-09 00:00:00
NZD,2026-09-09,1.24060000,2026-09-09 00:00:00
HKD,2026-09-09,5.69580000,2026-09-09 00:00:00
SGD,2026-09-09,0.91760000,2026-09-09 00:00:00
MXN,2026-09-09,12.27630000,2026-09-09 00:00:00
BRL,2026-09-09,3.69610000,2026-09-09 00:00:00
CHF,2026-09-09,0.58617000,2026-09-09 00:00:00
CNY,2026-09-09,4.87180000,2026-09-09 00:00:00
INR,2026-09-09,69.07700000,2026-09-09 00:00:00
ILS,2026-09-09,2.19290000,2026-09-09 00:00:00
MYR,2026-09-09,2.95610000,2026-09-09 00:00:00
PHP,2026-09-09,45.38700000,2026-09-09 00:00:00
THB,2026-09-09,23.87700000,2026-09-09 00:00:00
TRY,2026-09-09,35.20900000,2026-09-09 00:00:00
ZAR,2026-09-09,11.64970000,2026-09-09 00:00:00
IDR,2026-09-09,12693.00000000,2026-09-09 00:00:00
JPY,2026-09-09,111.32000000,2026-09-09 00:00:00
KRW,2026-09-09,970.48000000,2026-09-09 00:00:00
ISK,2026-09-09,87.51000000,2026-09-09 00:00:00
SEK,2026-09-09,6.94980000,2026-09-09 00:00:00
NOK,2026-09-09,6.66800000,2026-09-09 00:00:00
DKK,2026-09-09,4.65920000,2026-09-09 00:00:00
PLN,2026-09-09,2.68980000,2026-09-09 00:00:00
CZK,2026-09-09,15.11380000,2026-09-09 00:00:00
HUF,2026-09-09,226.86000000,2026-09-09 00:00:00
RON,2026-09-09,3.27530000,2026-09-09 00:00:00
